"Category","Reviews","Installs","Size","Price","Content.Rating"
2,6996,16,102,34,2
2,62164,1,17,34,2
2,54934,1,188,34,2
2,112484,9,194,34,2
2,1269,7,47,34,2
2,37,4,119,34,2
2,2014,7,16,34,2
2,13861,1,41,34,2
2,2204,7,19,34,2
2,14969,1,125,34,2
2,17129,7,19,16,2
2,33117,16,56,34,2
2,6658,16,86,34,2
2,9497,7,189,34,2
2,17500,1,15,34,2
3,748,7,90,34,2
2,10011,1,86,34,2
2,155,4,31,34,2
2,14888,16,68,34,2
2,2212,1,194,34,2
2,2,8,150,34,2
2,2,8,169,34,2
2,42,2,154,34,2
2,6,17,151,34,2
2,6,17,151,34,2
2,572,7,38,34,2
2,464,13,73,34,2
2,870,7,87,34,2
2,316,4,93,34,2
2,1407,7,70,34,2
2,3587,7,47,34,2
2,8025,7,44,34,2
2,1058,13,16,34,2
2,11251,1,73,34,2
2,198063,3,194,34,2
2,3246,16,48,34,2
2,231,10,23,21,2
2,47,10,49,34,2
2,38,2,47,21,2
2,16746,1,18,34,2
3,1136,7,64,34,2
2,302,4,10,34,2
2,31,10,26,34,2
2,29401,1,40,34,2
2,16516,1,46,34,2
2,2,8,16,34,2
2,7492,7,46,34,2
3,3059,7,15,34,2
3,1745,16,179,34,2
3,6923,7,49,34,2
2,11725,16,113,34,2
2,9148,1,138,34,2
3,1,8,27,34,2
2,5520,7,138,34,2
2,14265,1,171,34,2
2,8688,1,130,34,2
2,4,17,139,34,2
3,315,7,23,34,2
2,21103,16,15,34,2
2,63857,1,27,34,2
2,181,4,160,34,2
3,10713,1,194,34,4
2,97,10,127,34,2
2,392,7,61,34,2
2,11091,7,46,34,2
2,6139,1,194,34,2
2,583,7,64,34,2
3,339,7,95,34,2
2,65,4,25,34,2
2,4545,7,90,34,2
2,2111,4,32,34,2
3,1153,7,17,34,2
2,4639,7,142,34,2
2,3106,16,141,34,2
2,6757,7,56,34,2
2,6691,7,18,34,2
2,735,10,17,11,2
2,8883,7,138,34,2
2,3468,16,194,34,2
3,6,2,82,34,2
2,5756,7,194,34,2
2,36019,1,89,34,5
3,61,10,32,34,2
3,6573,16,143,34,2
2,2749,7,42,34,2
2,265,4,92,34,2
3,1101,4,194,34,2
3,12,2,37,34,2
2,339763,3,16,34,2
2,66200,1,160,34,2
2,154739,3,17,34,2
2,7,2,130,34,2
2,154166,3,186,34,2
2,177988,9,20,34,3
2,33104,9,19,34,5
